CVE ID,Package Name,Severity,Version,Fixed in version,Description,Source(image name)
CVE-2025-3576,libgssapi-krb5-2,MEDIUM,1.17-3+deb10u1,N/A,"A vulnerability in the MIT Kerberos implementation allows GSSAPI-protected messages using RC4-HMAC-MD5 to be spoofed due to weaknesses in the MD5 checksum design. If RC4 is preferred over stronger encryption types\, an attacker could exploit MD5 collisions to forge message integrity codes. This may lead to unauthorized message tampering.",|tykio/tyk-dashboard|
CVE-2017-18018,coreutils,LOW,9.1-1,N/A,"In GNU Coreutils through 8.29\, chown-core.c in chown and chgrp does not prevent replacement of a plain file with a symlink during use of the POSIX ""-R -L"" options\, which allows local users to modify the ownership of arbitrary files by leveraging a race condition.",|tykio/midsommar||tykio/tyk-dashboard|
CVE-2022-3821,libsystemd0,MEDIUM,241-7~deb10u5,241-7~deb10u10,"An off-by-one Error issue was discovered in Systemd in format_timespan() function of time-util.c. An attacker could supply specific values for time and accuracy that leads to buffer overrun in format_timespan()\, leading to a Denial of Service.",|tykio/tyk-dashboard|
CVE-2020-1752,libc-bin,HIGH,2.28-10,2.28-10+deb10u2,"A use-after-free vulnerability introduced in glibc upstream version 2.14 was found in the way the tilde expansion was carried out. Directory paths containing an initial tilde followed by a valid username were affected by this issue. A local attacker could exploit this flaw by creating a specially crafted path that\, when processed by the glob function\, would potentially lead to arbitrary code execution. This was fixed in version 2.32.",|tykio/tyk-dashboard|
CVE-2021-33910,libsystemd0,MEDIUM,241-7~deb10u5,241-7~deb10u8,"basic/unit-name.c in systemd prior to 246.15\, 247.8\, 248.5\, and 249.1 has a Memory Allocation with an Excessive Size Value (involving strdupa and alloca for a pathname controlled by a local attacker) that results in an operating system crash.",|tykio/tyk-dashboard|
CVE-2020-1751,libc-bin,HIGH,2.28-10,N/A,"An out-of-bounds write vulnerability was found in glibc before 2.31 when handling signal trampolines on PowerPC. Specifically\, the backtrace function did not properly check the array bounds when storing the frame address\, resulting in a denial of service or potential code execution. The highest threat from this vulnerability is to system availability.",|tykio/tyk-dashboard|
CVE-2021-3520,liblz4-1,CRITICAL,1.8.3-1,1.8.3-1+deb10u1,"There's a flaw in lz4. An attacker who submits a crafted file to an application linked with lz4 may be able to trigger an integer overflow\, leading to calling of memmove() on a negative size argument\, causing an out-of-bounds write and/or a crash. The greatest impact of this flaw is to availability\, with some potential impact to confidentiality and integrity as well.",|tykio/tyk-dashboard|
CVE-2019-19882,login,LOW,1:4.5-1.1,N/A,"shadow 4.8\, in certain circumstances affecting at least Gentoo\, Arch Linux\, and Void Linux\, allows local users to obtain root access because setuid programs are misconfigured. Specifically\, this affects shadow 4.8 when compiled using --with-libpam but without explicitly passing --disable-account-tools-setuid\, and without a PAM configuration suitable for use with setuid account management tools. This combination leads to account management tools (groupadd\, groupdel\, groupmod\, useradd\, userdel\, usermod) that can easily be used by unprivileged local users to escalate privileges to root in multiple ways. This issue became much more relevant in approximately December 2019 when an unrelated bug was fixed (i.e.\, the chmod calls to suidusbins were fixed in the upstream Makefile which is now included in the release version 4.8).",|tykio/tyk-dashboard|
CVE-2019-8457,libdb5.3,CRITICAL,5.3.28+dfsg1-0.5,N/A,"SQLite3 from 3.6.0 to and including 3.27.2 is vulnerable to heap out-of-bound read in the rtreenode() function when handling invalid rtree tables.",|tykio/tyk-dashboard|
CVE-2016-9113,libopenjp2-7,LOW,2.5.0-2+deb12u1,N/A,"There is a NULL pointer dereference in function imagetobmp of convertbmp.c:980 of OpenJPEG 2.1.2. image->comps[0].data is not assigned a value after initialization(NULL). Impact is Denial of Service.",|tykio/midsommar|
